type,run,attempts,successes,
combination0111,651,0,0,
combination0111,652,0,0,
combination0111,653,0,0,
combination0111,654,0,0,
combination0111,655,0,0,
combination0111,656,0,0,
combination0111,657,0,0,
combination0111,658,0,0,
combination0111,659,0,0,
combination0111,660,0,0,
combination0111,661,0,0,
combination0111,662,1,1,
combination0111,663,0,0,
combination0111,664,0,0,
combination0111,665,0,0,
combination0111,666,0,0,
combination0111,667,0,0,
combination0111,668,0,0,
combination0111,669,0,0,
combination0111,670,0,0,
combination0111,671,0,0,
combination0111,672,0,0,
combination0111,673,0,0,
combination0111,674,0,0,
combination0111,675,0,0,
combination0111,676,0,0,
combination0111,677,0,0,
combination0111,678,0,0,
combination0111,679,0,0,
combination0111,680,0,0,
combination0111,681,0,0,
combination0111,682,0,0,
combination0111,683,0,0,
combination0111,684,0,0,
combination0111,685,0,0,
combination0111,686,0,0,
combination0111,687,1,1,
combination0111,688,0,0,
combination0111,689,0,0,
combination0111,690,0,0,
combination0111,691,0,0,
combination0111,692,0,0,
combination0111,693,1,1,
combination0111,694,0,0,
combination0111,695,0,0,
combination0111,696,1,1,
combination0111,697,0,0,
combination0111,698,0,0,
combination0111,699,0,0,
combination0111,700,0,0,
combination0111,701,0,0,
combination0111,702,0,0,
combination0111,703,0,0,
combination0111,704,0,0,
combination0111,705,1,1,
combination0111,706,1,0,
combination0111,707,1,0,
combination0111,708,1,0,
combination0111,709,1,0,
combination0111,710,1,0,
combination0111,711,1,1,
combination0111,712,0,0,
combination0111,713,0,0,
combination0111,714,0,0,
combination0111,715,0,0,
combination0111,716,0,0,
combination0111,717,0,0,
combination0111,718,1,1,
combination0111,719,0,0,
combination0111,720,0,0,
combination0111,721,1,0,
combination0111,722,1,0,
combination0111,723,1,1,
combination0111,724,0,0,
combination0111,725,0,0,
combination0111,726,0,0,
combination0111,727,0,0,
combination0111,728,0,0,
combination0111,729,0,0,
combination0111,730,0,0,
combination0111,731,0,0,
combination0111,732,0,0,
combination0111,733,0,0,
combination0111,734,0,0,
combination0111,735,0,0,
combination0111,736,0,0,
combination0111,737,0,0,
combination0111,738,0,0,
combination0111,739,0,0,
combination0111,740,1,0,
combination0111,741,1,1,
combination0111,742,0,0,
combination0111,743,0,0,
combination0111,744,0,0,
combination0111,745,0,0,
combination0111,746,0,0,
combination0111,747,0,0,
combination0111,748,0,0,
combination0111,749,0,0,
combination0111,750,0,0,
combination0111,751,0,0,
combination0111,752,0,0,
combination0111,753,0,0,
combination0111,754,1,0,
combination0111,755,1,0,
combination0111,756,1,0,
combination0111,757,1,1,
combination0111,758,0,0,
combination0111,759,0,0,
combination0111,760,0,0,
combination0111,761,0,0,
combination0111,762,0,0,
combination0111,763,1,1,
combination0111,764,0,0,
combination0111,765,0,0,
combination0111,766,0,0,
combination0111,767,0,0,
combination0111,768,0,0,
combination0111,769,1,1,
combination0111,770,0,0,
combination0111,771,0,0,
combination0111,772,0,0,
combination0111,773,0,0,
combination0111,774,0,0,
combination0111,775,0,0,
combination0111,776,0,0,
combination0111,777,0,0,
combination0111,778,0,0,
combination0111,779,0,0,
combination0111,780,0,0,
combination0111,781,0,0,
combination0111,782,0,0,
combination0111,783,0,0,
combination0111,784,0,0,
combination0111,785,0,0,
combination0111,786,0,0,
combination0111,787,0,0,
combination0111,788,0,0,
combination0111,789,0,0,
combination0111,790,0,0,
combination0111,791,0,0,
combination0111,792,0,0,
combination0111,793,0,0,
combination0111,794,0,0,
combination0111,795,1,1,
combination0111,796,0,0,
combination0111,797,0,0,
combination0111,798,0,0,
combination0111,799,0,0,
combination0111,800,0,0,
combination0111,801,0,0,
combination0111,802,0,0,
combination0111,803,1,1,
combination0111,804,0,0,
combination0111,805,0,0,
combination0111,806,0,0,
combination0111,807,0,0,
combination0111,808,0,0,
combination0111,809,0,0,
combination0111,810,0,0,
combination0111,811,0,0,
combination0111,812,0,0,
combination0111,813,0,0,
combination0111,814,0,0,
combination0111,815,0,0,
combination0111,816,0,0,
combination0111,817,0,0,
combination0111,818,0,0,
combination0111,819,1,1,
combination0111,820,0,0,
combination0111,821,0,0,
combination0111,822,0,0,
combination0111,823,0,0,
combination0111,824,0,0,
combination0111,825,1,1,
combination0111,826,0,0,
combination0111,827,1,1,
combination0111,828,0,0,
combination0111,829,0,0,
combination0111,830,0,0,
combination0111,831,0,0,
combination0111,832,0,0,
combination0111,833,0,0,
combination0111,834,0,0,
combination0111,835,0,0,
combination0111,836,0,0,
combination0111,837,1,1,
combination0111,838,0,0,
combination0111,839,0,0,
combination0111,840,0,0,
combination0111,841,0,0,
combination0111,842,0,0,
combination0111,843,0,0,
combination0111,844,1,1,
combination0111,845,0,0,
combination0111,846,0,0,
combination0111,847,0,0,
combination0111,848,0,0,
combination0111,849,0,0,
combination0111,850,0,0,
combination0111,851,0,0,
combination0111,852,0,0,
combination0111,853,0,0,
combination0111,854,0,0,
combination0111,855,0,0,
combination0111,856,0,0,
combination0111,857,0,0,
combination0111,858,0,0,
combination0111,859,0,0,
combination0111,860,0,0,
combination0111,861,0,0,
combination0111,862,0,0,
combination0111,863,0,0,
combination0111,864,0,0,
combination0111,865,0,0,
combination0111,866,0,0,
combination0111,867,0,0,
combination0111,868,0,0,
combination0111,869,0,0,
combination0111,870,0,0,
combination0111,871,0,0,
combination0111,872,0,0,
combination0111,873,0,0,
combination0111,874,0,0,
combination0111,875,0,0,
combination0111,876,0,0,
combination0111,877,0,0,
combination0111,878,1,1,
combination0111,879,0,0,
combination0111,880,0,0,
combination0111,881,0,0,
combination0111,882,0,0,
combination0111,883,0,0,
combination0111,884,0,0,
combination0111,885,0,0,
combination0111,886,0,0,
combination0111,887,0,0,
combination0111,888,0,0,
combination0111,889,1,1,
combination0111,890,0,0,
combination0111,891,0,0,
combination0111,892,0,0,
combination0111,893,0,0,
combination0111,894,1,0,
combination0111,895,1,0,
combination0111,896,1,0,
combination0111,897,1,1,
combination0111,898,0,0,
combination0111,899,0,0,
combination0111,900,0,0,
combination0111,901,0,0,
combination0111,902,0,0,
combination0111,903,0,0,
combination0111,904,0,0,
combination0111,905,0,0,
combination0111,906,0,0,
combination0111,907,0,0,
combination0111,908,0,0,
combination0111,909,1,0,
combination0111,910,1,0,
combination0111,911,1,1,
combination0111,912,0,0,
combination0111,913,0,0,
combination0111,914,0,0,
combination0111,915,0,0,
combination0111,916,0,0,
combination0111,917,0,0,
combination0111,918,0,0,
combination0111,919,0,0,
combination0111,920,0,0,
combination0111,921,0,0,
combination0111,922,0,0,
combination0111,923,0,0,
combination0111,924,0,0,
combination0111,925,0,0,
combination0111,926,0,0,
combination0111,927,0,0,
combination0111,928,1,0,
combination0111,929,0,0,
combination0111,930,0,0,
combination0111,931,0,0,
combination0111,932,0,0,
combination0111,933,0,0,
combination0111,934,0,0,
