type,run,food_needed,food_used,shelter_needed,shelter_used,health_needed,health_used,acquisition_needed,acquisition_used,role_needed,role_used,audit_needed,audit_used,equipment_needed,equipment_used,security_needed,security_used,data_needed,data_used,ojt_needed,ojt_used,professional_needed,professional_used,formal_needed,formal_used,
combination0111,560,280.7759884009688,280.7759884009688,210.51301390438462,210.51301390438462,137.6977671159483,137.6977671159483,2.8738392077133312,2.8738392077133312,0.0,0.0,342.26966793627264,342.26966793627264,282.35276161421564,282.35276161421564,133.27782618792483,133.27782618792483,292.8653074894006,292.8653074894006,0.0,0.0,155.48605040003935,155.48605040003935,1.7296030298408311,1.7296030298408311,
combination0111,561,278.5824173430199,278.5824173430199,208.64391906652443,208.64391906652443,136.6356456766644,136.6356456766644,2.8738392077133312,2.8738392077133312,0.0,0.0,337.944081766122,337.944081766122,280.3571091957057,280.3571091957057,131.23583299219382,131.23583299219382,290.0363968522565,290.0363968522565,0.0,0.0,153.8480056462344,153.8480056462344,1.7296030298408311,1.7296030298408311,
combination0111,562,276.4848677590881,276.4848677590881,206.96676989685525,206.96676989685525,134.96710276672945,134.96710276672945,2.8738392077133312,2.8738392077133312,0.0,0.0,332.99210803148355,332.99210803148355,279.3571091957057,279.3571091957057,131.04409614661415,131.04409614661415,285.5291098809722,285.5291098809722,0.0,0.0,151.27896439234115,151.27896439234115,1.7296030298408311,1.7296030298408311,
combination0111,563,274.30253567564387,274.30253567564387,203.88229155163998,203.88229155163998,134.05709392143086,134.05709392143086,2.8738392077133312,2.8738392077133312,0.0,0.0,330.10729867505245,330.10729867505245,275.09191555584664,275.09191555584664,127.50220742105492,127.50220742105492,283.3123870890538,283.3123870890538,0.0,0.0,148.80898456998665,148.80898456998665,1.7296030298408311,1.7296030298408311,
combination0111,564,276.668600374283,276.668600374283,203.41994633861268,203.41994633861268,131.16318545602007,131.16318545602007,2.8738392077133312,2.8738392077133312,0.0,0.0,329.7098214677228,329.7098214677228,273.4274337664753,273.4274337664753,127.50220742105492,127.50220742105492,284.0432643042035,284.0432643042035,0.0,0.0,149.363591250647,149.363591250647,1.7296030298408311,1.7296030298408311,
combination0111,565,278.4540798498109,278.4540798498109,203.91614363044744,203.91614363044744,131.87681392197936,131.87681392197936,2.873839207713317,2.873839207713317,0.0,0.0,327.4244646984457,327.4244646984457,273.2475355422,273.2475355422,130.1781178033151,130.1781178033151,283.42862272583926,283.42862272583926,0.0,0.0,150.27115125616905,150.27115125616905,1.7296030298408311,1.7296030298408311,
combination0111,566,276.6316588667303,276.6316588667303,204.3989004564279,204.3989004564279,129.39273308458803,129.39273308458803,2.873839207713317,2.873839207713317,0.0,0.0,326.99697364430733,326.99697364430733,275.09836135858393,275.09836135858393,128.9718130579879,128.9718130579879,284.3175937115505,284.3175937115505,0.0,0.0,149.8169597252665,149.8169597252665,1.7296030298408311,1.7296030298408311,
combination0111,567,275.2901585715189,275.2901585715189,203.77561045442593,203.77561045442593,130.7966483158018,130.7966483158018,2.873839207713317,2.873839207713317,0.0,0.0,326.53051801123956,326.53051801123956,274.58004795669655,274.58004795669655,127.90435645288042,127.90435645288042,281.1350772661834,281.1350772661834,0.0,0.0,151.43424722508576,151.43424722508576,1.7296030298408311,1.7296030298408311,
combination0111,568,275.6529115917542,275.6529115917542,204.0081692849342,204.0081692849342,131.76545099783064,131.76545099783064,2.873839207713317,2.873839207713317,0.0,0.0,326.20004467127376,326.20004467127376,275.11551079087894,275.11551079087894,127.11127933716776,127.11127933716776,280.8736018379263,280.8736018379263,0.0,0.0,153.06593222994707,153.06593222994707,1.7296030298408311,1.7296030298408311,
combination0111,569,277.61565791269027,277.61565791269027,204.04406231250974,204.04406231250974,131.25327291858775,131.25327291858775,2.873839207713317,2.873839207713317,0.0,0.0,325.6761169871088,325.6761169871088,273.21680536621653,273.21680536621653,126.8822468367243,126.8822468367243,282.86051312714613,282.86051312714613,0.0,0.0,151.81077406161634,151.81077406161634,1.7296030298408311,1.7296030298408311,
